title,body,labels,status,milestones
[30pt] Project Management,Ultimately drive the completion of the effort and communicate about the status clearly and proactively,task,open,version 0.1
[30pt] Direction,Offer direction to task assignees and clarify any pending questions,task,open,version 0.1
[10pt] Accessibility - Audio,Research into the best practices for game accessibility - Audio
[10pt] Accessibility - Ergonomics,Research into the best practices for game accessibility - Ergonomics
[10pt] Accessibility - General,Research into the best practices for game accessibility - General
[10pt] Accessibility - General,Research into the best practices for game accessibility - General
[10pt] Accessibility - Physical,Research into the best practices for game accessibility - Physical
[10pt] Accessibility - Visual,Research into the best practices for game accessibility - Visual
[20pt] Authenticity Consultant - Appalachian Clothing,Consult on and review work related to Appalachian Clothing
[20pt] Authenticity Consultant - Appalachian Shelter,Consult on and review work related to Appalachian Shelter
[30pt] Authenticity Consultant - Appalachian Crafting Tools,Consult on and review work related to Appalachian Crafting Tools
[20pt] Authenticity Consultant - Appalachian Weapons,Consult on and review work related to Appalachian Weapons
[10pt] Authenticity Consultant - Appalachian Archery,Consult on and review work related to Appalachian Archery
[10pt] Authenticity Consultant - Appalachian Knapping,Consult on and review work related to Appalachian Knapping
[10pt] Authenticity Consultant - Appalachian Bowmaking,Consult on and review work related to Appalachian Bowmaking
[10pt] Authenticity Consultant - Appalachian Hunting,Consult on and review work related to Appalachian Hunting
[10pt] Authenticity Consultant - Appalachian Tracking,Consult on and review work related to Appalachian Tracking
[10pt] Authenticity Consultant - Appalachian Animal Processing,Consult on and review work related to Appalachian Animal Processing
[10pt] Authenticity Consultant - Appalachian Cooking,Consult on and review work related to Appalachian Cooking
[10pt] Authenticity Consultant - Appalachian Medicine,Consult on and review work related to Appalachian Medicine
[20pt] Authenticity Consultant - Appalachian Animal Behavior,Consult on and review work related to Appalachian Animal Behavior
[2pt] Jewelry Consultant - Necklace (Style 01),Design necklace in an appropriate style
[2pt] Jewelry Consultant - Necklace (Style 02),Design necklace in an appropriate style
[2pt] Jewelry Consultant - Necklace (Style 03),Design necklace in an appropriate style
[2pt] Jewelry Consultant - Necklace (Style 04),Design necklace in an appropriate style
[2pt] Jewelry Consultant - Necklace (Style 05),Design necklace in an appropriate style
[2pt] Jewelry Consultant - Necklace (Style 06),Design necklace in an appropriate style
[2pt] Jewelry Consultant - Necklace (Style 07),Design necklace in an appropriate style
[2pt] Jewelry Consultant - Necklace (Style 08),Design necklace in an appropriate style
[2pt] Jewelry Consultant - Necklace (Style 09),Design necklace in an appropriate style
[2pt] Jewelry Consultant - Necklace (Style 10),Design necklace in an appropriate style
[2pt] Jewelry Consultant - Earrings (Style 01),Design earrings in an appropriate style
[2pt] Jewelry Consultant - Earrings (Style 02),Design earrings in an appropriate style
[2pt] Jewelry Consultant - Earrings (Style 03),Design earrings in an appropriate style
[2pt] Jewelry Consultant - Earrings (Style 04),Design earrings in an appropriate style
[2pt] Jewelry Consultant - Earrings (Style 05),Design earrings in an appropriate style
[2pt] Jewelry Consultant - Cuffs (Style 01),Design cuffs in an appropriate style
[2pt] Jewelry Consultant - Cuffs (Style 02),Design cuffs in an appropriate style
[2pt] Jewelry Consultant - Cuffs (Style 03),Design cuffs in an appropriate style
[2pt] Jewelry Consultant - Cuffs (Style 04),Design cuffs in an appropriate style
[2pt] Jewelry Consultant - Cuffs (Style 05),Design cuffs in an appropriate style
[2pt] Jewelry Consultant - Adornments (Style 01),Design equipment adornments in an appropriate style
[2pt] Jewelry Consultant - Adornments (Style 02),Design equipment adornments in an appropriate style
[2pt] Jewelry Consultant - Adornments (Style 03),Design equipment adornments in an appropriate style
[2pt] Jewelry Consultant - Adornments (Style 04),Design equipment adornments in an appropriate style
[2pt] Jewelry Consultant - Adornments (Style 05),Design equipment adornments in an appropriate style
[2pt] Hair Consultant - Hairstyle (Style 01),Design hairstyle in an appropriate style
[2pt] Hair Consultant - Hairstyle (Style 02),Design hairstyle in an appropriate style
[2pt] Hair Consultant - Hairstyle (Style 03),Design hairstyle in an appropriate style
[2pt] Hair Consultant - Hairstyle (Style 04),Design hairstyle in an appropriate style
[2pt] Hair Consultant - Hairstyle (Style 05),Design hairstyle in an appropriate style
[20pt] Jewelry Consultant (Additional Jewelry),Design individual jewelry pieces in an appropriate style
[10pt] Authenticity Consulting - Catawba,Consult on and review work related to the history and culture to ensure authenticity and ideal representation
[10pt] Authenticity Consulting - Cayuga,Consult on and review work related to the history and culture to ensure authenticity and ideal representation
[10pt] Authenticity Consulting - Cherokee,Consult on and review work related to the history and culture to ensure authenticity and ideal representation
[10pt] Authenticity Consulting - Chickasaw,Consult on and review work related to the history and culture to ensure authenticity and ideal representation
[10pt] Authenticity Consulting - Choctaw,Consult on and review work related to the history and culture to ensure authenticity and ideal representation
[10pt] Authenticity Consulting - Delaware,Consult on and review work related to the history and culture to ensure authenticity and ideal representation
[10pt] Authenticity Consulting - Huron,Consult on and review work related to the history and culture to ensure authenticity and ideal representation
